"","x"
"492","ENSSSCG00000051459"
"493","ENSSSCG00000051585"
"494","ENSSSCG00000000158"
"495","ENSSSCG00000000605"
"496","ENSSSCG00000000915"
"497","ENSSSCG00000001076"
"498","ENSSSCG00000001469"
"499","ENSSSCG00000001473"
"500","ENSSSCG00000001619"
"501","ENSSSCG00000001629"
"502","ENSSSCG00000002381"
"503","ENSSSCG00000002752"
"504","ENSSSCG00000002790"
"505","ENSSSCG00000002919"
"506","ENSSSCG00000003040"
"507","ENSSSCG00000003081"
"508","ENSSSCG00000003170"
"509","ENSSSCG00000003232"
"510","ENSSSCG00000003407"
"511","ENSSSCG00000003634"
"512","ENSSSCG00000003844"
"513","ENSSSCG00000004024"
"514","ENSSSCG00000004093"
"515","ENSSSCG00000004178"
"516","ENSSSCG00000004332"
"517","ENSSSCG00000004616"
"518","ENSSSCG00000004966"
"519","ENSSSCG00000005751"
"520","ENSSSCG00000005930"
"521","ENSSSCG00000005938"
"522","ENSSSCG00000006382"
"523","ENSSSCG00000006393"
"524","ENSSSCG00000006478"
"525","ENSSSCG00000006488"
"526","ENSSSCG00000006553"
"527","ENSSSCG00000006651"
"528","ENSSSCG00000006689"
"529","ENSSSCG00000006701"
"530","ENSSSCG00000007147"
"531","ENSSSCG00000007162"
"532","ENSSSCG00000007188"
"533","ENSSSCG00000007264"
"534","ENSSSCG00000007398"
"535","ENSSSCG00000007554"
"536","ENSSSCG00000007739"
"537","ENSSSCG00000007807"
"538","ENSSSCG00000007983"
"539","ENSSSCG00000008039"
"540","ENSSSCG00000008115"
"541","ENSSSCG00000008218"
"542","ENSSSCG00000008429"
"543","ENSSSCG00000009002"
"544","ENSSSCG00000009022"
"545","ENSSSCG00000009093"
"546","ENSSSCG00000009138"
"547","ENSSSCG00000009144"
"548","ENSSSCG00000009853"
"549","ENSSSCG00000010101"
"550","ENSSSCG00000010181"
"551","ENSSSCG00000010280"
"552","ENSSSCG00000010474"
"553","ENSSSCG00000010669"
"554","ENSSSCG00000010746"
"555","ENSSSCG00000010832"
"556","ENSSSCG00000011079"
"557","ENSSSCG00000011353"
"558","ENSSSCG00000011618"
"559","ENSSSCG00000011683"
"560","ENSSSCG00000012848"
"561","ENSSSCG00000012970"
"562","ENSSSCG00000012971"
"563","ENSSSCG00000013028"
"564","ENSSSCG00000013067"
"565","ENSSSCG00000013618"
"566","ENSSSCG00000013768"
"567","ENSSSCG00000014052"
"568","ENSSSCG00000014128"
"569","ENSSSCG00000014311"
"570","ENSSSCG00000014351"
"571","ENSSSCG00000014390"
"572","ENSSSCG00000014395"
"573","ENSSSCG00000015138"
"574","ENSSSCG00000015322"
"575","ENSSSCG00000015428"
"576","ENSSSCG00000015538"
"577","ENSSSCG00000015650"
"578","ENSSSCG00000015657"
"579","ENSSSCG00000015741"
"580","ENSSSCG00000015816"
"581","ENSSSCG00000015883"
"582","ENSSSCG00000015914"
"583","ENSSSCG00000016269"
"584","ENSSSCG00000016545"
"585","ENSSSCG00000016563"
"586","ENSSSCG00000016618"
"587","ENSSSCG00000016754"
"588","ENSSSCG00000016949"
"589","ENSSSCG00000017112"
"590","ENSSSCG00000017172"
"591","ENSSSCG00000017191"
"592","ENSSSCG00000017196"
"593","ENSSSCG00000017410"
"594","ENSSSCG00000017496"
"595","ENSSSCG00000017515"
"596","ENSSSCG00000017608"
"597","ENSSSCG00000017717"
"598","ENSSSCG00000017873"
"599","ENSSSCG00000018026"
"600","ENSSSCG00000018027"
"601","ENSSSCG00000018039"
"602","ENSSSCG00000019730"
"603","ENSSSCG00000020859"
"604","ENSSSCG00000021173"
"605","ENSSSCG00000021490"
"606","ENSSSCG00000021588"
"607","ENSSSCG00000021791"
"608","ENSSSCG00000021873"
"609","ENSSSCG00000021966"
"610","ENSSSCG00000022126"
"611","ENSSSCG00000022312"
"612","ENSSSCG00000022506"
"613","ENSSSCG00000023279"
"614","ENSSSCG00000023887"
"615","ENSSSCG00000023934"
"616","ENSSSCG00000024000"
"617","ENSSSCG00000024635"
"618","ENSSSCG00000025034"
"619","ENSSSCG00000025160"
"620","ENSSSCG00000025408"
"621","ENSSSCG00000025460"
"622","ENSSSCG00000025741"
"623","ENSSSCG00000026710"
"624","ENSSSCG00000027072"
"625","ENSSSCG00000027190"
"626","ENSSSCG00000027454"
"627","ENSSSCG00000028327"
"628","ENSSSCG00000028359"
"629","ENSSSCG00000028373"
"630","ENSSSCG00000028878"
"631","ENSSSCG00000029371"
"632","ENSSSCG00000029413"
"633","ENSSSCG00000029849"
"634","ENSSSCG00000030513"
"635","ENSSSCG00000030585"
"636","ENSSSCG00000030709"
"637","ENSSSCG00000031201"
"638","ENSSSCG00000031608"
"639","ENSSSCG00000032240"
"640","ENSSSCG00000032334"
"641","ENSSSCG00000032367"
"642","ENSSSCG00000032417"
"643","ENSSSCG00000032849"
"644","ENSSSCG00000033272"
"645","ENSSSCG00000033377"
"646","ENSSSCG00000033500"
"647","ENSSSCG00000033707"
"648","ENSSSCG00000033768"
"649","ENSSSCG00000033811"
"650","ENSSSCG00000033892"
"651","ENSSSCG00000033941"
"652","ENSSSCG00000034266"
"653","ENSSSCG00000034521"
"654","ENSSSCG00000034645"
"655","ENSSSCG00000034701"
"656","ENSSSCG00000035186"
"657","ENSSSCG00000035218"
"658","ENSSSCG00000035417"
"659","ENSSSCG00000035431"
"660","ENSSSCG00000035733"
"661","ENSSSCG00000035778"
"662","ENSSSCG00000035940"
